Date,Timestamp,Open,High,Low,Close,Volume
2021-11-25,00:00:00,1.11957,1.12296,1.11944,1.12065,50564.1616829755
2021-11-26,00:00:00,1.12064,1.13301,1.12057,1.13071,139284.930871041
2021-11-29,00:00:00,1.13004,1.13134,1.12583,1.12888,101027.683599385
2021-11-30,00:00:00,1.12887,1.13828,1.12349,1.13367,160120.64523343
2021-12-01,00:00:00,1.13354,1.13596,1.13025,1.13188,118041.190167114
2021-12-02,00:00:00,1.1318,1.13476,1.12953,1.13006,89596.400023669
2021-12-03,00:00:00,1.13,1.13333,1.12665,1.13117,122008.539970212
2021-12-06,00:00:00,1.13046,1.13129,1.12663,1.12832,76367.1250068266
2021-12-07,00:00:00,1.12812,1.12984,1.12275,1.12663,70296.3849894255
2021-12-08,00:00:00,1.12662,1.13547,1.12631,1.13413,84371.1940900013
2021-12-09,00:00:00,1.13411,1.13455,1.12783,1.12923,62539.8250756934
2021-12-10,00:00:00,1.12923,1.13239,1.12651,1.13146,74444.6601182893
2021-12-13,00:00:00,1.131,1.13192,1.126,1.12837,68114.0251503885
2021-12-14,00:00:00,1.12811,1.13238,1.12535,1.12579,83807.3750450835
2021-12-15,00:00:00,1.12579,1.12991,1.12215,1.1291,113081.790130146
2021-12-16,00:00:00,1.12909,1.13603,1.12811,1.13292,81935.0551631749
2021-12-17,00:00:00,1.13293,1.13488,1.1235,1.1237,74337.8626787886
2021-12-20,00:00:00,1.12371,1.13037,1.12344,1.12756,69885.2802513763
2021-12-21,00:00:00,1.12745,1.13026,1.12607,1.12823,62032.0151107833
2021-12-22,00:00:00,1.12824,1.13423,1.12644,1.13258,58347.3786600437
2021-12-23,00:00:00,1.1325,1.13422,1.129,1.13262,65917.7199506685
2021-12-24,00:00:00,1.13265,1.13433,1.13031,1.13102,200271.328666162
2021-12-27,00:00:00,1.13101,1.13344,1.13028,1.13258,40832.8666441645
2021-12-28,00:00:00,1.13255,1.13331,1.12895,1.1308,39662.1799917817
2021-12-29,00:00:00,1.1308,1.13688,1.12737,1.13459,71259.3240058534
2021-12-30,00:00:00,1.13449,1.13598,1.12984,1.13248,54239.6499698162
